DATE,DSPIC96
10/1/06,11330.4
11/1/06,11374.4
12/1/06,11418.1
1/1/07,11428.8
2/1/07,11472.4
3/1/07,11512
4/1/07,11511.1
5/1/07,11504.1
6/1/07,11486.2
7/1/07,11495.9
8/1/07,11504.3
9/1/07,11531.8
10/1/07,11513.6
11/1/07,11500.1
12/1/07,11541.8
1/1/08,11553.4
2/1/08,11551.4
3/1/08,11546.6
4/1/08,11500.4
5/1/08,12051.5
6/1/08,11732.6
7/1/08,11548
8/1/08,11482.1
9/1/08,11514
10/1/08,11576.5
11/1/08,11664
12/1/08,11605.4
1/1/09,11646.5
2/1/09,11526.3
3/1/09,11522.9
4/1/09,11626.3
5/1/09,11818.8
6/1/09,11623.6
7/1/09,11569.8
8/1/09,11540.3
9/1/09,11561.9
10/1/09,11512.2
11/1/09,11543.9
12/1/09,11607.1
1/1/10,11608.3
2/1/10,11606
3/1/10,11643.9
4/1/10,11741
5/1/10,11835.3
6/1/10,11856.3
7/1/10,11875.8
8/1/10,11910.3
9/1/10,11898.6
10/1/10,11915.9
11/1/10,11942.2
12/1/10,12026.5
1/1/11,12075.9
2/1/11,12105.7
3/1/11,12068.8
4/1/11,12046.5
5/1/11,12034.1
6/1/11,12090.5
7/1/11,12125.8
8/1/11,12112.5
9/1/11,12090.7
10/1/11,12112.3
11/1/11,12110
12/1/11,12219.6
1/1/12,12310.4
2/1/12,12384.9
3/1/12,12428.7
4/1/12,12476.6
5/1/12,12487
6/1/12,12498.1
7/1/12,12409.6
8/1/12,12362.1
9/1/12,12422
10/1/12,12515.7
11/1/12,12692.5
12/1/12,13015.6
1/1/13,12266.2
2/1/13,12204.5
3/1/13,12223.3
4/1/13,12271.2
5/1/13,12341.6
6/1/13,12354.3
7/1/13,12341.1
8/1/13,12368.3
9/1/13,12418.3
10/1/13,12385.5
11/1/13,12424.9
12/1/13,12463.9
1/1/14,12523.4
2/1/14,12600.7
3/1/14,12669.6
4/1/14,12717.4
5/1/14,12765.7
6/1/14,12824.7
7/1/14,12864.5
8/1/14,12925.3
9/1/14,12965.2
10/1/14,13020.2
11/1/14,13083.2
12/1/14,13164
1/1/15,13262
2/1/15,13313.1
3/1/15,13275.3
4/1/15,13301.7
5/1/15,13324.8
6/1/15,13337.8
7/1/15,13378
8/1/15,13413.1
9/1/15,13450
10/1/15,13473.1
11/1/15,13467.8
12/1/15,13530.7
1/1/16,13580.2
2/1/16,13595.7
3/1/16,13606.6
4/1/16,13587.4
5/1/16,13581
6/1/16,13587.3
7/1/16,13630
8/1/16,13639.6
9/1/16,13679.8
10/1/16,13708.5
11/1/16,13736.1
12/1/16,13759.9
1/1/17,13824.9
2/1/17,13875.1
3/1/17,13942.1
4/1/17,13967
5/1/17,14059.6
6/1/17,14063.7
7/1/17,14103.1
8/1/17,14122.8
9/1/17,14150.3
10/1/17,14187.8
11/1/17,14202.8
12/1/17,14227
1/1/18,14342.7
2/1/18,14379.4
3/1/18,14437.8
4/1/18,14471.5
5/1/18,14512.2
6/1/18,14557.1
7/1/18,14609.9
8/1/18,14649.7
9/1/18,14638.2
10/1/18,14670.6
11/1/18,14688.9
12/1/18,14837.3
1/1/19,14840.9
2/1/19,14864.1
3/1/19,14855.7
4/1/19,14817.2
5/1/19,14809.6
6/1/19,14826.8
7/1/19,14840.3
8/1/19,14912.4
9/1/19,14933.6
10/1/19,14936.2
11/1/19,14997.2
12/1/19,14960.2
1/1/20,15070.2
2/1/20,15162.6
3/1/20,14949.3
4/1/20,17287.1
5/1/20,16453.5
6/1/20,16149.8
7/1/20,16203.6
8/1/20,15635.9
9/1/20,15714.8
10/1/20,15646.7
11/1/20,15464.2
12/1/20,15512
1/1/21,17253.1
2/1/21,15864
3/1/21,19473.9
4/1/21,16524.4
5/1/21,16069.9
